class,cap-diameter,stem-width,stem-height,weight
edible,12.81,19.99,7.66,49
edible,8.12,14.93,9.92,69
poisonous,1.49,2.37,1.69,93
edible,11.86,17.44,5.71,75
poisonous,2.64,3.62,4.07,13
edible,8.12,25.64,10.95,92
edible,27.6,102.48,26.0,133
edible,4.16,6.67,5.1,140
edible,9.2,13.94,10.93,67
poisonous,1.77,2.92,2.87,143
edible,4.06,2.9,4.53,85
edible,3.49,9.02,4.26,140
edible,6.1,11.38,11.31,167
poisonous,5.62,9.28,5.38,167
edible,10.84,23.3,10.31,37
edible,6.24,13.18,13.17,127
poisonous,5.4,8.56,6.64,9
edible,6.29,5.71,7.59,45
edible,3.76,5.98,4.81,32
edible,10.83,22.59,5.27,139
edible,8.18,17.74,7.93,76
edible,8.83,20.41,5.69,16
poisonous,6.44,18.28,6.91,166
edible,11.7,23.87,7.69,37
edible,5.27,11.13,3.24,52
poisonous,5.86,12.87,6.83,155
poisonous,10.68,17.77,11.49,66
poisonous,15.31,17.04,16.19,41
poisonous,7.67,16.63,5.99,103
poisonous,3.02,2.64,3.92,176
edible,9.73,16.36,5.29,108
edible,6.51,12.85,5.9,39
poisonous,1.58,1.47,3.31,197
edible,9.33,18.94,7.36,105
poisonous,10.99,24.72,8.33,179
edible,6.49,12.69,4.51,135
edible,9.4,23.06,8.29,5
poisonous,2.93,3.46,4.24,9
edible,45.64,16.58,2.18,146
poisonous,8.56,13.05,4.76,107
poisonous,12.69,25.69,4.68,31
edible,5.1,11.1,4.65,141
poisonous,3.36,7.45,4.34,19
poisonous,3.19,4.9,4.6,94
poisonous,6.94,7.99,8.07,46
edible,4.64,14.87,5.41,128
edible,3.32,6.01,2.62,183
poisonous,0.73,0.74,3.51,67
poisonous,1.61,2.4,4.84,100
edible,5.13,22.04,5.03,56
edible,7.95,14.49,7.69,100
edible,6.6,12.39,5.44,136
edible,5.57,12.45,4.42,155
poisonous,3.41,6.43,4.89,147
poisonous,2.03,3.33,6.72,175
edible,10.26,19.57,4.51,33
poisonous,6.74,12.52,6.72,40
poisonous,5.3,13.48,5.75,17
edible,10.01,25.79,4.98,164
edible,3.71,5.36,4.45,75
poisonous,5.6,6.25,5.21,191
edible,17.1,18.84,9.93,90
edible,13.57,21.82,8.05,32
edible,7.75,14.0,5.38,70
edible,4.82,4.01,6.59,174
poisonous,1.98,2.08,5.15,49
poisonous,4.05,0.0,0.0,66
poisonous,10.39,13.73,5.05,189
edible,3.7,7.69,6.12,138
edible,8.17,17.2,7.21,32
edible,4.33,11.0,5.95,32
poisonous,3.33,5.61,3.04,112
poisonous,8.65,19.78,6.51,48
poisonous,4.6,8.08,6.99,88
edible,14.59,24.91,9.38,34
poisonous,3.54,6.28,5.65,194
poisonous,8.13,17.0,8.63,79
poisonous,17.58,17.49,16.86,132
poisonous,2.76,2.36,3.43,96
edible,5.62,3.36,6.12,194
edible,17.54,34.25,16.44,133
edible,3.28,6.79,4.0,125
poisonous,9.78,14.22,7.57,31
poisonous,1.27,5.48,3.79,194
poisonous,9.92,15.01,5.96,125
edible,12.68,17.2,2.66,120
edible,6.71,10.22,3.72,7
poisonous,5.83,5.74,7.3,107
edible,6.46,14.2,7.78,159
edible,9.18,17.53,6.19,141
edible,9.91,17.42,9.24,66
poisonous,11.68,28.03,8.24,169
poisonous,5.87,9.24,7.22,55
poisonous,3.25,2.78,3.99,176
edible,13.11,26.05,9.69,156
poisonous,3.76,7.7,3.8,63
poisonous,3.83,0.0,0.0,122
poisonous,4.89,8.08,6.74,164
poisonous,7.58,9.52,8.49,100
edible,11.1,12.75,23.46,184
edible,7.84,12.57,8.49,117
poisonous,15.63,30.5,6.08,66
poisonous,2.36,2.23,4.48,190
poisonous,2.15,2.03,4.61,56
poisonous,3.47,2.49,9.0,16
poisonous,9.7,15.71,12.48,43
poisonous,8.76,12.42,4.12,134
poisonous,3.74,3.84,5.63,135
poisonous,30.34,52.04,7.78,117
poisonous,2.17,2.92,6.61,105
poisonous,7.22,9.72,4.79,117
poisonous,0.93,1.54,3.52,188
poisonous,3.34,7.35,6.35,85
poisonous,2.49,3.43,3.25,191
edible,8.31,11.09,17.14,117
edible,6.16,5.55,7.08,6
edible,10.99,25.01,8.59,134
edible,3.57,9.45,8.03,58
edible,5.76,17.69,8.11,91
edible,0.79,0.99,5.54,133
poisonous,1.23,5.49,3.61,151
edible,6.43,13.4,6.15,130
edible,56.72,50.79,7.73,134
edible,3.03,2.83,5.8,57
edible,8.86,18.62,6.79,176
edible,12.63,25.8,9.21,164
poisonous,5.6,7.92,7.21,164
edible,10.92,17.11,8.84,72
edible,7.14,15.26,5.13,187
edible,8.52,19.48,7.06,188
poisonous,2.25,2.61,4.13,127
edible,4.18,6.53,4.03,149
edible,21.58,82.98,21.02,42
poisonous,7.17,17.3,15.92,28
poisonous,3.78,4.43,6.58,73
poisonous,1.75,1.64,4.66,120
edible,6.5,18.07,7.92,102
poisonous,3.18,0.0,0.0,143
poisonous,5.35,7.06,4.89,148
poisonous,6.23,10.15,6.31,101
edible,5.89,13.81,3.62,128
edible,6.03,8.04,4.81,191
poisonous,4.76,6.32,7.08,74
poisonous,7.68,8.65,8.9,97
poisonous,2.9,2.57,3.3,7
poisonous,3.01,6.11,4.94,152
poisonous,6.19,12.33,6.48,191
edible,6.68,15.04,6.05,168
edible,1.44,2.49,4.62,151
edible,11.12,27.25,7.03,94
poisonous,1.36,6.09,3.82,199
poisonous,3.65,6.04,8.47,151
edible,8.32,11.37,15.19,152
edible,4.31,6.86,5.05,100
poisonous,5.27,7.7,6.29,56
poisonous,4.29,5.59,5.61,165
poisonous,7.92,8.81,5.95,172
poisonous,2.4,2.28,5.5,132
edible,7.97,14.42,5.73,43
poisonous,8.15,12.16,12.81,86
poisonous,8.19,12.8,4.54,108
poisonous,5.84,12.09,5.01,133
edible,8.67,9.3,6.56,15
poisonous,3.96,4.27,8.37,189
poisonous,5.08,6.37,3.0,182
poisonous,5.22,12.57,11.06,155
edible,8.03,19.97,6.71,163
poisonous,7.38,10.66,6.83,46
edible,4.38,9.73,4.41,103
edible,4.42,5.1,7.58,11
edible,10.07,17.14,9.12,148
edible,3.45,2.88,4.51,94
poisonous,8.1,7.35,8.23,116
poisonous,9.04,14.3,7.99,64
poisonous,7.16,11.65,8.46,117
poisonous,7.8,11.1,9.39,6
poisonous,8.65,13.85,13.9,133
poisonous,12.47,15.49,7.4,52
poisonous,5.82,9.24,6.9,144
edible,12.16,17.53,9.99,41
poisonous,17.74,34.29,6.33,164
edible,5.78,10.37,5.55,13
edible,4.55,12.06,4.45,103
poisonous,5.46,14.08,5.21,151
poisonous,6.87,14.09,4.41,52
edible,1.14,1.52,3.06,135
poisonous,3.01,6.33,4.69,152
poisonous,3.3,3.5,3.93,156
edible,3.12,6.05,4.69,58
poisonous,6.95,15.4,6.41,124
poisonous,8.07,12.37,7.14,165
poisonous,3.91,6.57,9.02,156
edible,9.8,14.23,2.43,120
poisonous,3.02,15.29,3.45,79
edible,10.33,21.81,7.21,117
edible,7.24,12.19,5.7,168
poisonous,7.46,13.0,4.58,170
edible,8.72,19.7,6.85,108
poisonous,6.31,14.49,8.65,88
poisonous,2.74,5.9,3.17,116
poisonous,2.81,7.62,3.11,103
edible,1.56,2.37,4.74,157
poisonous,9.8,38.62,11.3,97
poisonous,4.51,7.14,5.99,150
poisonous,3.67,4.73,5.64,132
edible,12.11,16.43,7.42,114
poisonous,5.15,0.0,0.0,86
poisonous,1.99,2.13,5.28,198
poisonous,4.07,7.16,5.77,58
poisonous,3.92,6.74,5.2,167
poisonous,6.87,14.17,7.31,193
poisonous,7.67,16.22,5.2,173
poisonous,12.28,13.66,5.37,165
poisonous,3.16,7.28,2.94,72
poisonous,7.41,14.37,8.38,37
poisonous,6.32,14.2,5.05,146
edible,6.74,9.23,5.35,25
edible,5.57,7.82,4.16,52
poisonous,14.12,26.55,5.14,152
poisonous,1.19,4.9,2.83,132
poisonous,11.33,14.11,5.77,140
poisonous,1.28,1.36,3.67,139
poisonous,1.32,5.32,3.54,199
edible,5.58,6.61,9.49,149
edible,3.75,7.82,7.5,132
poisonous,5.06,7.69,6.42,37
poisonous,2.05,22.63,4.57,180
poisonous,2.54,14.79,3.41,191
poisonous,7.79,7.33,14.56,119
poisonous,9.1,10.3,4.34,123
poisonous,6.45,12.09,11.76,26
poisonous,0.99,2.38,3.56,162
edible,7.38,18.23,6.18,42
poisonous,2.31,3.48,3.42,113
edible,6.87,15.13,6.06,55
poisonous,3.86,5.18,5.19,186
poisonous,3.52,6.94,4.5,12
edible,9.09,16.77,4.48,31
edible,9.64,13.23,9.19,31
edible,5.07,12.72,5.75,25
poisonous,4.77,6.29,12.65,34
poisonous,4.0,3.48,5.39,101
poisonous,5.81,10.03,7.73,32
edible,5.51,8.81,8.27,115
poisonous,8.81,11.54,10.7,196
edible,6.76,11.29,5.83,65
edible,3.98,8.05,6.23,52
poisonous,6.66,16.11,7.31,151
poisonous,1.39,2.45,4.01,8
edible,7.53,12.78,7.42,39
poisonous,6.93,18.08,16.99,196
edible,5.48,11.53,4.18,53
poisonous,2.96,2.79,9.68,21
poisonous,4.28,3.69,6.46,176
poisonous,6.34,6.21,12.22,162
edible,1.39,1.53,4.66,50
poisonous,6.12,10.1,5.29,121
poisonous,2.16,1.94,5.1,10
edible,14.17,17.61,24.94,103
poisonous,13.6,16.09,16.32,128
edible,10.03,10.32,6.91,41
edible,18.66,65.6,16.07,28
poisonous,21.72,34.71,4.79,97
edible,10.94,25.64,6.08,50
edible,13.07,17.83,2.69,185
poisonous,1.01,1.52,3.29,99
edible,9.49,17.0,8.82,103
poisonous,10.88,26.72,7.84,192
edible,9.81,18.89,6.49,120
edible,7.15,10.02,6.0,195
poisonous,7.81,12.92,9.42,164
edible,7.82,13.17,9.63,165
edible,6.35,8.91,6.05,71
poisonous,11.25,17.66,7.0,132
edible,6.82,18.88,6.49,22
poisonous,8.58,13.84,1.51,29
poisonous,7.99,11.52,12.37,58
edible,6.85,14.65,5.86,62
poisonous,3.3,16.53,3.5,71
poisonous,1.42,1.26,4.16,108
edible,3.99,35.04,6.31,178
edible,12.67,19.77,23.7,28
edible,9.86,17.21,6.09,118
edible,9.66,33.51,6.47,36
edible,5.71,8.94,4.47,179
poisonous,3.14,3.53,3.51,90
poisonous,2.57,2.44,5.98,155
edible,6.01,11.29,12.15,198
edible,7.68,13.52,6.51,131
edible,11.42,14.67,8.84,159
edible,8.99,20.29,5.06,134
poisonous,7.47,16.34,5.79,21
edible,11.42,21.42,7.43,108
edible,12.26,22.85,8.63,165
edible,4.2,11.39,5.87,141
edible,4.58,9.02,6.53,47
edible,6.29,8.29,5.39,180
poisonous,6.26,9.75,4.8,43
edible,6.93,21.58,3.89,174
edible,10.48,17.18,8.89,30
edible,2.82,5.67,6.76,103
poisonous,7.2,14.77,1.58,54
edible,16.56,18.46,24.1,157
poisonous,3.72,4.46,6.36,156
poisonous,1.98,3.15,6.15,17
poisonous,6.32,10.61,8.3,64
edible,4.52,3.61,4.93,139
poisonous,3.13,2.69,3.62,61
edible,7.43,26.13,11.76,40
edible,4.81,11.3,5.56,177
poisonous,3.58,6.26,4.34,24
edible,3.18,3.0,6.56,69
edible,3.62,11.91,5.43,12
edible,7.95,19.0,4.47,148
poisonous,3.2,5.65,4.54,146
edible,7.48,12.02,4.41,119
edible,11.07,17.64,9.15,147
edible,5.2,23.37,10.37,96
edible,7.85,34.33,8.34,102
poisonous,6.45,14.77,5.92,70
poisonous,0.73,0.85,3.76,36
edible,2.96,10.79,5.18,195
poisonous,9.4,14.14,5.26,90
edible,8.63,13.33,3.99,55
poisonous,10.19,25.37,5.19,157
poisonous,9.95,16.92,1.77,190
poisonous,1.34,2.54,4.97,67
edible,1.55,1.51,4.9,194
poisonous,3.18,5.38,5.01,129
poisonous,5.7,12.69,10.62,154
poisonous,8.29,14.82,1.73,62
edible,11.29,23.94,7.36,62
edible,20.56,34.01,16.24,90
edible,6.63,7.79,4.26,53
poisonous,12.29,32.17,9.46,184
poisonous,1.03,1.34,3.04,174
poisonous,10.54,23.07,15.16,74
poisonous,8.3,20.79,8.77,19
edible,4.54,44.13,5.92,58
poisonous,12.06,13.86,10.92,192
edible,4.19,7.29,5.72,105
edible,6.28,12.6,4.74,12
poisonous,13.26,29.36,9.29,57
poisonous,0.65,0.91,3.8,64
poisonous,7.34,10.96,4.19,112
poisonous,12.31,31.94,11.19,9
poisonous,3.18,0.0,0.0,107
poisonous,8.49,13.56,7.4,10
poisonous,3.66,3.67,5.62,113
poisonous,5.7,0.0,0.0,120
edible,5.71,6.11,4.52,98
edible,4.65,10.57,4.79,51
poisonous,8.57,12.05,7.99,103
poisonous,3.32,30.13,5.44,59
edible,3.49,6.48,7.27,172
edible,3.11,53.94,7.64,56
edible,12.41,24.03,8.0,148
edible,7.28,12.26,6.21,17
poisonous,0.58,0.95,4.27,118
poisonous,5.21,5.26,4.55,128
poisonous,5.18,9.48,7.52,110
edible,5.53,12.78,5.46,162
poisonous,8.33,13.4,11.0,151
edible,16.66,61.58,15.59,149
poisonous,11.15,13.47,6.28,124
edible,3.18,2.8,4.27,67
poisonous,3.45,3.34,4.71,23
edible,3.69,10.17,4.52,96
edible,7.89,28.71,6.94,62
poisonous,1.23,5.4,3.4,187
edible,6.88,9.92,5.17,94
poisonous,4.43,33.59,6.25,121
edible,9.4,16.66,6.27,66
edible,3.92,13.03,5.24,27
edible,3.6,7.16,5.68,131
poisonous,5.11,9.08,6.25,141
poisonous,6.88,15.13,4.87,144
edible,6.19,8.63,6.43,133
edible,52.59,38.84,5.6,62
edible,3.05,5.6,3.75,126
poisonous,2.22,2.84,7.79,5
poisonous,2.82,2.49,8.49,38
poisonous,3.97,6.41,5.05,100
poisonous,4.97,8.65,7.27,130
poisonous,0.5,0.57,3.03,122
poisonous,7.66,8.16,19.12,52
edible,4.3,5.46,5.54,93
edible,10.46,20.89,12.48,121
poisonous,4.62,6.82,5.27,133
edible,8.16,12.96,9.77,20
poisonous,22.1,37.3,9.46,193
poisonous,4.27,3.74,8.05,196
poisonous,16.62,18.01,18.54,195
poisonous,3.19,2.4,7.82,73
poisonous,18.54,39.16,5.56,26
edible,4.03,39.08,4.04,97
edible,6.06,15.2,14.67,199
poisonous,7.21,16.73,13.62,80
poisonous,6.88,14.84,6.62,158
edible,4.84,6.43,5.88,148
poisonous,10.37,13.46,6.02,183
edible,11.18,14.09,8.12,90
poisonous,3.17,4.46,6.49,189
poisonous,9.16,13.07,7.5,33
edible,7.34,25.21,11.7,73
poisonous,1.48,1.56,5.06,51
poisonous,5.88,8.27,6.68,98
poisonous,2.74,2.56,8.84,194
edible,1.71,2.54,5.21,148
poisonous,8.5,14.31,9.66,180
poisonous,21.92,48.41,5.33,89
edible,9.65,25.13,5.77,43
poisonous,14.68,16.4,16.19,104
poisonous,10.91,23.73,7.0,37
edible,6.58,8.97,3.39,105
poisonous,9.24,13.98,5.12,27
edible,9.91,17.57,8.82,14
poisonous,7.99,18.52,15.41,73
edible,8.86,15.7,8.42,104
edible,9.3,14.98,8.16,38
edible,8.53,15.95,4.18,184
poisonous,1.31,5.59,3.74,142
edible,4.75,5.83,7.11,151
poisonous,1.46,2.63,5.02,190
poisonous,6.67,11.79,4.29,100
edible,0.88,0.85,4.33,5
edible,14.19,18.16,19.78,73
edible,16.96,33.84,14.68,8
edible,8.63,25.32,6.86,20
edible,4.04,5.69,5.5,28
poisonous,8.34,13.06,4.61,84
edible,5.46,5.04,4.61,6
poisonous,8.16,7.77,5.7,132
poisonous,2.53,2.78,6.44,164
poisonous,14.93,18.23,17.71,88
poisonous,6.85,7.57,7.57,156
edible,7.02,10.78,3.93,144
poisonous,8.01,13.15,13.73,182
poisonous,1.86,1.84,5.54,167
edible,1.25,1.79,6.22,128
poisonous,6.71,9.93,5.43,37
poisonous,3.64,3.09,4.32,165
edible,0.61,0.93,4.96,193
edible,9.66,16.45,4.26,183
poisonous,4.46,4.35,2.77,175
poisonous,2.84,10.56,2.97,105
edible,4.57,7.12,4.27,16
edible,3.69,3.74,6.64,71
poisonous,2.27,2.42,5.76,69
edible,6.29,10.57,7.15,165
poisonous,5.22,7.98,8.97,172
poisonous,6.05,6.65,3.83,78
edible,10.1,15.22,9.23,47
poisonous,5.49,6.14,5.87,48
poisonous,5.8,6.83,5.86,33
edible,8.43,20.2,4.08,145
edible,7.15,13.08,8.88,16
poisonous,11.61,28.14,8.22,99
edible,10.57,26.13,6.69,50
poisonous,7.42,13.03,13.57,134
poisonous,3.01,6.47,4.86,39
edible,3.15,5.81,3.1,85
poisonous,7.49,8.81,6.05,94
poisonous,15.22,27.63,8.43,12
poisonous,2.19,3.84,6.58,97
edible,8.48,16.56,5.26,158
edible,5.39,9.8,4.38,94
poisonous,0.68,0.56,3.3,166
edible,4.44,9.52,4.44,119
poisonous,3.82,3.63,6.13,109
poisonous,6.97,8.61,5.83,139
edible,6.59,8.27,3.03,62
edible,12.07,17.14,2.72,118
poisonous,4.34,5.75,4.96,79
poisonous,9.03,13.7,5.77,161
poisonous,5.55,7.22,4.15,124
poisonous,2.64,0.0,0.0,168
poisonous,2.07,1.77,4.84,25
edible,20.53,82.5,15.33,168
poisonous,5.13,12.56,6.3,142
edible,9.2,10.78,7.0,105
poisonous,8.31,13.68,7.76,156
poisonous,6.2,15.2,6.32,196
poisonous,3.56,8.18,5.23,181
poisonous,5.18,10.98,4.78,103
edible,4.94,6.56,4.28,40
edible,8.64,11.96,6.3,100
edible,0.95,1.25,2.77,156
poisonous,7.71,16.22,1.56,155
poisonous,2.97,3.59,3.78,194
poisonous,3.05,6.01,2.48,41
poisonous,8.61,7.38,14.49,16
poisonous,8.02,10.38,4.26,117
poisonous,2.42,2.46,7.65,187
poisonous,1.69,2.45,5.68,17
poisonous,5.44,7.27,7.1,27
edible,3.08,3.44,7.06,103
poisonous,4.24,5.13,6.05,109
poisonous,1.33,1.84,4.82,34
poisonous,3.39,5.53,9.39,21
poisonous,9.61,21.12,8.14,117
poisonous,0.66,0.93,4.4,66
edible,3.24,7.01,5.45,88
poisonous,2.84,2.41,3.41,116
edible,7.12,14.46,7.1,90
poisonous,9.81,12.85,11.0,145
poisonous,7.61,11.55,6.28,191
edible,18.19,17.58,23.26,23
poisonous,7.99,14.66,8.07,181
poisonous,4.62,6.83,5.28,104
edible,11.43,20.64,8.65,144
edible,7.85,14.47,7.38,193
poisonous,1.71,2.84,2.21,151
poisonous,3.74,3.61,6.14,80
poisonous,5.73,12.07,3.84,13
edible,7.63,14.45,7.0,32
poisonous,5.37,6.5,4.54,132
edible,7.95,13.02,7.38,56
poisonous,6.57,7.55,15.1,87
edible,2.8,3.87,6.92,115
poisonous,1.93,2.19,5.37,148
edible,6.78,23.73,7.68,121
poisonous,12.42,13.1,10.94,73
edible,6.52,8.44,3.54,103
poisonous,6.69,9.85,5.41,144
edible,5.15,7.07,4.38,29
poisonous,12.46,23.28,5.05,184
poisonous,2.89,11.57,2.9,127
poisonous,3.86,0.0,0.0,57
edible,15.3,18.86,11.04,155
poisonous,4.94,5.16,5.64,148
edible,9.63,27.5,13.83,61
poisonous,0.75,2.22,3.11,43
edible,13.08,18.57,12.48,113
edible,2.41,3.26,6.02,185
poisonous,3.55,3.75,4.74,46
poisonous,2.08,2.53,8.77,190
edible,7.69,15.78,7.3,171
edible,8.01,13.44,7.12,146
poisonous,1.71,1.47,3.88,126
edible,7.07,12.31,4.2,137
poisonous,5.25,13.48,4.78,167
poisonous,10.55,22.37,12.44,79
poisonous,3.49,7.93,4.45,150
edible,3.44,7.83,5.75,80
poisonous,4.03,7.43,7.59,13
poisonous,3.05,15.97,3.97,78
edible,12.73,17.31,10.21,190
edible,4.13,6.84,5.12,149
edible,9.04,31.17,8.91,11
edible,8.05,11.84,5.93,178
edible,10.73,21.68,5.25,145
edible,6.36,12.61,4.31,172
poisonous,2.96,6.1,3.55,174
edible,6.7,14.17,5.84,141
poisonous,7.18,11.42,11.53,182
poisonous,1.32,1.5,3.98,31
poisonous,7.25,14.42,5.76,126
edible,11.91,17.61,10.98,198
edible,50.36,49.16,7.24,9
edible,17.21,32.85,13.4,33
poisonous,1.56,1.64,4.78,169
edible,47.13,30.49,5.64,170
poisonous,1.28,5.39,3.96,87
poisonous,3.83,4.4,6.12,140
poisonous,2.12,3.12,5.53,113
poisonous,18.14,29.7,7.11,69
edible,11.97,22.64,8.29,90
poisonous,8.38,7.35,7.92,149
poisonous,14.2,27.51,5.06,75
edible,5.82,4.63,4.53,49
poisonous,13.14,14.47,10.94,136
poisonous,3.45,0.0,0.0,40
poisonous,6.76,9.22,6.19,74
edible,1.75,3.18,6.41,163
poisonous,18.74,37.4,5.81,23
poisonous,6.31,11.84,6.15,193
edible,5.57,9.95,6.98,112
edible,3.9,5.64,7.45,186
poisonous,1.88,2.37,5.4,171
poisonous,7.2,13.69,8.49,95
edible,5.71,10.1,5.3,94
poisonous,8.24,10.46,4.21,23
poisonous,0.65,0.97,3.77,43
poisonous,9.16,32.22,10.07,130
poisonous,3.4,3.63,4.59,199
edible,5.36,11.5,4.3,177
poisonous,6.66,6.65,3.36,145
poisonous,8.47,15.97,5.4,130
edible,4.61,5.13,5.11,62
poisonous,4.1,3.62,4.88,152
edible,3.45,5.51,4.34,65
edible,9.13,16.05,8.35,131
poisonous,4.23,4.89,6.98,109
edible,2.61,9.71,4.36,171
edible,4.95,4.08,6.61,5
poisonous,3.03,3.41,3.3,135
edible,6.81,14.3,7.19,96
poisonous,0.56,0.69,3.51,194
poisonous,4.07,6.64,4.81,195
edible,15.25,23.12,6.54,117
poisonous,9.72,23.17,2.92,157
edible,9.82,15.63,5.12,60
edible,8.25,21.6,4.31,165
poisonous,8.22,17.29,8.06,170
edible,7.55,14.99,7.47,121
poisonous,3.53,3.2,4.71,138
poisonous,5.55,6.66,5.13,62
poisonous,5.71,6.18,12.08,48
poisonous,8.91,11.56,9.69,177
poisonous,3.38,8.33,4.94,164
edible,6.71,21.5,6.91,177
poisonous,3.39,6.93,7.63,65
poisonous,7.68,9.95,4.31,51
edible,19.66,36.43,17.27,153
edible,1.67,1.61,5.36,84
poisonous,4.2,25.22,4.98,122
poisonous,0.78,1.04,4.5,168
poisonous,4.76,6.74,4.55,151
poisonous,2.17,3.16,8.54,24
edible,3.96,3.89,6.41,189
poisonous,4.2,13.09,4.85,150
poisonous,2.74,2.67,7.77,51
edible,5.82,12.55,11.38,53
edible,10.44,14.33,2.35,18
edible,4.65,44.66,6.79,147
edible,10.98,22.93,8.9,163
poisonous,2.34,4.2,7.47,5
poisonous,7.08,17.33,5.33,121
poisonous,11.09,11.78,10.52,58
edible,3.63,10.22,4.64,122
poisonous,4.12,7.49,6.1,7
edible,9.76,11.57,14.53,148
edible,4.43,6.7,4.36,189
edible,2.47,4.49,6.05,16
poisonous,8.62,22.67,11.52,78
edible,8.91,13.43,6.41,20
poisonous,5.67,6.07,6.61,106
poisonous,14.29,18.0,17.87,156
edible,7.89,15.19,7.74,160
poisonous,10.15,14.91,9.45,121
edible,4.51,12.1,5.25,12
edible,9.32,26.27,7.45,126
edible,8.76,18.93,7.64,96
edible,3.95,3.49,5.65,168
edible,3.25,8.2,6.42,94
poisonous,18.74,29.27,5.77,140
edible,11.88,17.12,7.93,190
poisonous,4.37,3.57,4.54,64
edible,6.73,13.01,5.1,182
poisonous,7.01,9.67,10.06,32
poisonous,6.2,11.82,11.16,105
poisonous,4.13,4.47,2.93,45
poisonous,7.51,14.59,8.04,196
poisonous,4.07,4.05,8.9,159
poisonous,8.37,8.38,7.99,195
poisonous,9.78,22.52,4.56,149
edible,3.41,2.8,4.68,165
edible,15.07,22.19,13.59,161
poisonous,5.78,7.57,6.11,145
edible,8.15,13.12,6.54,50
edible,4.83,12.31,3.86,39
poisonous,5.85,10.77,5.43,138
poisonous,3.23,8.07,5.36,86
poisonous,4.46,6.2,6.36,119
poisonous,2.45,5.18,4.28,51
edible,7.45,25.87,4.29,157
poisonous,5.42,7.4,5.93,198
poisonous,9.28,13.65,8.41,14
poisonous,1.0,2.59,3.33,60
