instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
96,2011-04-06,2,0,4,0,Thursday,1,Clear,10.759984,0.387608,491.4366900362,0.263063,2808
97,2011-04-07,2,0,4,0,Friday,1,Clear,13,0.433696,1321.38726841671,0.162312,3141
98,2011-04-08,2,0,4,0,Saturday,1,Few clouds,8.119984,0.324479,4890.40158010254,0.226992,1471
99,2011-04-09,2,0,4,0,Sunday,0,Few clouds,8.44,0.341529,5929.09625039062,0.133083,2455
100,2011-04-10,2,0,4,0,Monday,0,Few clouds,12.480016,0.426737,5406.75281289063,0.146767,2895
101,2011-04-11,2,0,4,0,Tuesday,1,Few clouds,20.591296,0.565217,2642.22631973326,0.324474,3348
102,2011-04-12,2,0,4,0,Wednesday,1,Few clouds,16.12,0.493054,2985.17831763272,0.274879,2034
103,2011-04-13,2,0,4,0,Thursday,1,Few clouds,11.8,0.417283,4502.87399354392,0.250617,2162
104,2011-04-14,2,0,4,0,Friday,1,Clear,14.44,0.462742,852.9351434485,0.1107,3267
105,2011-04-15,2,0,4,1,Saturday,0,Clear,13.440016,0.441913,2030.19238674317,0.226375,3126
106,2011-04-16,2,0,4,0,Sunday,0,Partialy cloudy,12.679984,0.425492,6227.34867172212,0.340808,795
107,2011-04-17,2,0,4,0,Monday,0,Clear,13.920016,0.445696,528.999327889613,0.303496,3744
108,2011-04-18,2,0,4,0,Tuesday,1,Clear,16.6,0.503146,866.161687890625,0.163567,3429
109,2011-04-19,2,0,4,0,Wednesday,1,Few clouds,16.279984,0.489258,1965.44666603865,0.157971,3204
110,2011-04-20,2,0,4,0,Thursday,1,Clear,20.56,0.564392,1422.8067277508,0.241925,3944
111,2011-04-21,2,0,4,0,Friday,1,Clear,14.040016,0.453892,274.619812043427,0.325258,4189
112,2011-04-22,2,0,4,0,Saturday,1,Few clouds,8.160016,0.321954,2833.34085424985,0.219521,1683
113,2011-04-23,2,0,4,0,Sunday,0,Few clouds,14.08,0.450121,6215.69197139743,0.230725,4036
114,2011-04-24,2,0,4,0,Monday,0,Few clouds,,0.551763,4322.4070484867,0.192175,4191
115,2011-04-25,2,0,4,0,Tuesday,1,Clear,21.120016,0.5745,3638.64269226921,0.185333,4073
116,2011-04-26,2,0,4,0,Wednesday,1,Clear,22.320016,0.594083,2826.88422309382,0.3265,4400
117,2011-04-27,2,0,4,0,Thursday,1,Few clouds,,0.575142,4870.94509341267,,3872
118,2011-04-28,2,0,4,0,Friday,1,Few clouds,21.64,0.578929,2412.44917652568,0.320908,4058
119,2011-04-29,2,0,4,0,Saturday,1,Clear,16.48,0.497463,436.496008402858,0.240063,4595
120,2011-04-30,2,0,4,0,Sunday,0,Clear,14.68,0.464021,641.832375087615,0.235075,5312
121,2011-05-01,2,0,5,0,Monday,0,Few clouds,13.680016,0.448204,3372.94372379778,0.106354,3351
122,2011-05-02,2,0,5,0,Tuesday,1,Few clouds,18.360016,0.532833,2839.8241,0.183454,4401
123,2011-05-03,2,0,5,0,Wednesday,1,Few clouds,21.600016,0.582079,2361.22822708859,0.342667,4451
124,2011-05-04,2,0,5,0,Thursday,1,Few clouds,11.880016,0.40465,2951.65489777629,0.328996,2633
125,2011-05-05,2,0,5,0,Friday,1,Clear,14.040016,0.441917,389.211044523399,0.295392,4433
126,2011-05-06,2,0,5,0,Saturday,1,Clear,15.000016,0.474117,1211.7361,0.228246,4608
127,2011-05-07,2,0,5,0,Sunday,0,Clear,16.96,0.512621,858.206179711914,0.16045,4714
128,2011-05-08,2,0,5,0,Monday,0,Clear,17.359984,0.518933,1592.03552723655,0.0746375,4333
129,2011-05-09,2,0,5,0,Tuesday,1,Clear,17.56,0.525246,1201.49973830566,0.176,4362
130,2011-05-10,2,0,5,0,Wednesday,1,Clear,17.56,0.522721,572.570020160762,0.115671,4803
131,2011-05-11,2,0,5,0,Thursday,1,,18.04,0.5284,1604.67484084147,0.120642,4182
132,2011-05-12,2,0,5,0,Friday,1,Clear,17.68,0.523363,3122.08546914063,0.189667,4864
133,2011-05-13,2,0,5,0,Saturday,1,Few clouds,16.6,0.4943,5555.37482890423,0.179725,4105
134,2011-05-14,2,0,5,0,Sunday,0,Few clouds,16.999984,0.500629,7242.11637539062,0.13495,3409
135,2011-05-15,2,0,5,0,Monday,0,Few clouds,19,0.536,5652.52752961812,0.152979,4553
136,2011-05-16,2,0,5,0,Tuesday,1,Clear,19.72,0.550512,3854.09027914793,0.126871,3958
137,2011-05-17,2,0,5,0,Wednesday,1,Few clouds,18.960016,0.538529,4929.51289043933,0.277354,4123
138,2011-05-18,2,0,5,0,Thursday,1,Few clouds,18.4,0.527158,5728.9761,0.201492,3855
139,2011-05-19,2,0,5,0,Friday,1,Few clouds,17.479984,0.510742,4736.30187796084,0.108213,4575
140,2011-05-20,2,0,5,0,Saturday,1,Clear,17.760016,0.529042,2681.16522991542,0.125013,4917
141,2011-05-21,2,0,5,0,Sunday,0,Clear,20.92,0.571975,1542.22344922336,0.12065,5805
142,2011-05-22,2,0,5,0,Monday,0,Clear,21.000016,0.5745,3157.0314915787,0.148008,4660
143,2011-05-23,2,0,5,0,Tuesday,1,Few clouds,22.320016,0.590296,4304.6721,0.233842,4274
144,2011-05-24,2,0,5,0,Wednesday,1,Few clouds,23.68,0.604813,3012.18247921088,0.207092,4492
145,2011-05-25,2,0,5,0,Thursday,1,Clear,23.719984,0.615542,2349.96196291504,0.154233,4978
146,2011-05-26,2,0,5,0,Friday,1,Clear,25.999984,0.654688,2106.86737539063,0.199642,4677
147,2011-05-27,2,0,5,0,Saturday,1,Clear,24.720016,0.637008,1826.61410744629,0.240679,4679
148,2011-05-28,2,0,5,0,Sunday,0,Clear,23.479984,0.612379,2833.34085424985,0.230092,4758
149,2011-05-29,2,0,5,0,Monday,0,Clear,24.04,0.61555,4493.71217346191,0.213938,4788
150,2011-05-30,2,0,5,1,Tuesday,0,Clear,27.199984,0.671092,2201.72100625,0.131225,4098
151,2011-05-31,2,0,5,0,Wednesday,1,Clear,29.2,0.725383,1643.04462734641,0.111329,3982
152,2011-06-01,2,0,6,0,Thursday,1,Few clouds,28.680016,0.720967,2101.68507046475,0.207092,3974
153,2011-06-02,2,0,6,0,Friday,1,Clear,26.32,0.643942,86.53650625,0.292287,4968
154,2011-06-03,2,0,6,0,Saturday,1,Clear,21.76,0.587133,157.337545573753,0.253121,5312
155,2011-06-04,2,0,6,0,Sunday,0,Clear,22.48,0.594696,433.322769165039,0.123142,5342
156,2011-06-05,2,0,6,0,Monday,0,Few clouds,23.119984,0.616804,1812.68384414062,0.138692,4906
157,2011-06-06,2,0,6,0,Tuesday,1,Clear,24.559984,0.621858,1296,0.121896,4548
158,2011-06-07,2,0,6,0,Wednesday,1,Clear,25.96,0.65595,1278.09638328092,0.187808,4833
159,2011-06-08,2,0,6,0,Thursday,1,Clear,29.239984,0.727279,1497.59138542422,0.136817,4401
160,2011-06-09,2,0,6,0,Friday,1,Few clouds,30.799984,0.757579,1043.30549688049,0.149883,3915
161,2011-06-10,2,0,6,0,Saturday,1,Clear,28.24,,1339.74300625,0.140554,4586
162,2011-06-11,2,0,6,0,Sunday,0,Clear,26.8,,1835.94171077919,0.15485,4966
163,2011-06-12,2,0,6,0,Monday,0,Clear,25.24,0.643325,3129.05804155484,0.163567,4460
164,2011-06-13,2,0,6,0,Tuesday,1,Clear,22.48,0.601654,598.351987828704,0.30535,5020
165,2011-06-14,2,0,6,0,Wednesday,1,Clear,21.000016,0.591546,661.174665428989,0.269283,4891
166,2011-06-15,2,0,6,0,Thursday,1,Clear,70.080016,0.587754,494.927936201298,0.167912,5180
167,2011-06-16,2,0,6,0,Friday,1,Few clouds,22.159984,0.595346,2244.88637384594,0.206471,3767
168,2011-06-17,2,0,6,0,Saturday,1,Clear,,0.600383,2931.6832329144,0.143029,4844
169,2011-06-18,2,0,6,0,Sunday,0,Clear,,0.643954,2020.13351230994,0.119408,5119
170,2011-06-19,2,0,6,0,Monday,0,Few clouds,25.560016,0.645846,1975.31259259556,0.102,4744
171,2011-06-20,2,0,6,0,Tuesday,1,Few clouds,22.48,0.595346,3101.25427932129,0.155475,4010
172,2011-06-21,3,0,6,0,Wednesday,1,Few clouds,120.679984,0.637646,3522.92525860095,0.171025,4835
173,2011-06-22,3,0,6,0,Thursday,1,Clear,27.199984,0.693829,2505.56559414063,0.172262,4507
174,2011-06-23,3,0,6,0,Friday,1,Few clouds,26.959984,0.693833,2447.05639929663,0.238804,4790
175,2011-06-24,3,0,6,0,Saturday,1,Clear,26.760016,0.656583,1080.50743286738,0.222025,4991
176,2011-06-25,3,0,6,0,Sunday,0,Clear,25.36,0.643313,545.740006853409,0.209571,5202
177,2011-06-26,3,0,6,0,Monday,0,Clear,24.64,0.637629,694.37925320472,0.0945333,5305
178,2011-06-27,3,0,6,0,Tuesday,1,Few clouds,24.76,0.637004,1878.37587354456,0.107588,4708
179,2011-06-28,3,0,6,0,Wednesday,1,Clear,27.720016,0.692558,1617.38926398189,0.144283,4648
180,2011-06-29,3,0,6,0,Thursday,1,Clear,26.959984,0.654688,614.649902765144,0.261821,5225
181,2011-06-30,3,0,6,0,Friday,1,Clear,25.440016,0.637008,355.326209271211,0.185312,5515
182,2011-07-01,3,0,7,0,Saturday,1,,26.68,0.652162,246.534158227539,0.102608,5362
183,2011-07-02,3,0,7,0,Sunday,0,Clear,27.439984,0.667308,390.671210656747,0.115062,5119
184,2011-07-03,3,0,7,0,Monday,0,Few clouds,26.400016,0.668575,2169.75462539063,0.228858,4649
185,2011-07-04,3,0,7,1,Tuesday,0,Few clouds,26.880016,0.665417,1655.98616327393,0.0814792,6043
186,2011-07-05,3,0,7,0,Wednesday,1,Clear,27.840016,0.696338,1215.16545527723,0.126258,4665
187,2011-07-06,3,0,7,0,Thursday,1,Clear,26.56,0.685633,3053.0481545385,0.149883,4629
188,2011-07-07,3,0,7,0,Friday,1,Clear,28,0.686871,1798.83341018066,0.1592,4592
189,2011-07-08,3,0,7,0,Saturday,1,Few clouds,26.040016,0.670483,3299.79221365311,0.225129,4040
190,2011-07-09,3,0,7,0,Sunday,0,Clear,27.199984,0.664158,1377.0365707472,0.167912,5336
191,2011-07-10,3,0,7,0,Monday,0,Clear,27.88,0.690025,1118.69551354093,0.183471,4881
192,2011-07-11,3,0,7,0,Tuesday,1,Clear,28.6,0.729804,1634.45232373478,0.282337,4086
193,2011-07-12,3,0,7,0,Wednesday,1,Clear,30.120016,0.739275,977.611118152825,0.200254,4258
194,2011-07-13,3,0,7,0,Thursday,1,Clear,27.840016,0.689404,1592.03552723655,0.146133,4342
195,2011-07-14,3,0,7,0,Friday,1,Clear,24.679984,0.635104,514.446189477539,0.240667,5084
196,2011-07-15,3,0,7,0,Saturday,1,Clear,23.839984,0.624371,1222.03773049316,0.182833,5538
197,2011-07-16,3,0,7,0,Sunday,0,Clear,24.960016,0.638263,1171.17950625,0.208342,5923
198,2011-07-17,3,0,7,0,Monday,0,Clear,26.520016,0.669833,1332.37967954526,0.245033,5302
199,2011-07-18,3,0,7,0,Tuesday,1,Clear,27.840016,0.703925,1798.83341018066,0.215804,4458
200,2011-07-19,3,0,7,0,Wednesday,1,Clear,29.280016,0.747479,1789.64765497176,0.1306,4541
201,2011-07-20,3,0,7,0,Thursday,1,Clear,28.879984,0.74685,2499.66370020052,0.113817,4332
202,2011-07-21,3,0,7,0,Friday,1,Few clouds,31.12,0.826371,2283.18223830567,0.222021,3784
203,2011-07-22,3,0,7,0,Saturday,1,Clear,32.719984,0.840896,1134.90757961815,0.1331,3387
204,2011-07-23,3,0,7,0,Sunday,0,Clear,32.760016,0.804287,625,0.131221,3285
205,2011-07-24,3,0,7,0,Monday,0,Clear,31.84,0.794829,,0.169171,3606
206,2011-07-25,3,0,7,0,Tuesday,1,Clear,27.679984,0.720958,,0.0908083,3840
207,2011-07-26,3,0,7,0,Wednesday,1,,29.040016,0.696979,,0.200258,4590
208,2011-07-27,3,0,7,0,Thursday,1,,29.2,0.690667,263.54960318528,0.183463,4656
209,2011-07-28,3,0,7,0,Friday,1,,29.400016,0.7399,1157.88701389116,0.178479,4390
210,2011-07-29,3,0,7,0,Saturday,1,,32.239984,0.785967,866.161687890625,0.174138,3846
211,2011-07-30,3,0,7,0,Sunday,0,Clear,30.600016,0.728537,470.891666079734,0.168537,4475
212,2011-07-31,3,0,7,0,Monday,0,Clear,30.679984,0.729796,534.536128864134,0.164813,4302
213,2011-08-01,3,0,8,0,Tuesday,1,Clear,29.040016,0.703292,920.618721806375,0.156717,4266
214,2011-08-02,3,0,8,0,Wednesday,1,Clear,29.599984,0.707071,582.385097680664,0.20585,4845
215,2011-08-03,3,0,8,0,Thursday,1,Few clouds,27.120016,0.679937,1868.88693789062,0.135583,3574
216,2011-08-04,3,0,8,0,Friday,1,Few clouds,26.08,0.664788,3292.53612539062,0.19715,4576
217,2011-08-05,3,0,8,0,Saturday,1,Clear,26.119984,0.656567,1583.6442048833,0.184696,4866
218,2011-08-06,3,0,8,0,Sunday,0,Few clouds,26.400016,0.676154,3249.28500625,0.22825,4294
219,2011-08-07,3,0,8,0,Monday,0,Clear,27.64,0.715292,3213.57479534064,0.201487,3785
220,2011-08-08,3,0,8,0,Tuesday,1,Clear,28.72,0.703283,1228.93911379849,0.192175,4326
221,2011-08-09,3,0,8,0,Wednesday,1,Clear,29.2,0.724121,1058.69251068574,,4602
222,2011-08-10,3,0,8,0,Thursday,1,Clear,28.800016,0.684983,323.70358582569,0.200258,4780
223,2011-08-11,3,0,8,0,Friday,1,Clear,26.44,0.651521,322.432525415039,0.164796,4792
224,2011-08-12,3,0,8,0,Saturday,1,Clear,25.999984,0.654042,296.61450625,0.125621,4905
225,2011-08-13,3,0,8,0,Sunday,0,Few clouds,24.919984,0.645858,2833.34085424985,0.211454,4150
226,2011-08-14,3,0,8,0,Monday,0,Few clouds,24.480016,0.624388,4466.33243789063,0.222633,3820
227,2011-08-15,3,0,8,0,Tuesday,1,Clear,23.959984,0.616167,2571.12073542148,0.208954,4338
228,2011-08-16,3,0,8,0,Wednesday,1,Clear,25.639984,0.645837,1118.69551354093,0.236329,4725
229,2011-08-17,3,0,8,0,Thursday,1,Clear,26.719984,0.666671,1096.30338181611,0.143667,4694
230,2011-08-18,3,0,8,0,Friday,1,Clear,26.160016,0.662258,1835.94171077919,0.233208,3805
231,2011-08-19,3,0,8,0,Saturday,1,Few clouds,24.88,0.633221,2731.20155267583,0.139308,4153
232,2011-08-20,3,0,8,0,Sunday,0,Clear,25.48,0.648996,2065.71289796409,0.104467,5191
233,2011-08-21,3,0,8,0,Monday,0,,26.119984,0.675525,3515.3041,0.248754,3873
234,2011-08-22,3,0,8,0,Tuesday,1,,25.200016,0.638254,487.9681,0.27675,4758
235,2011-08-23,3,0,8,0,Wednesday,1,Clear,22.759984,0.606067,430.166863067229,0.146763,5895
236,2011-08-24,3,0,8,0,Thursday,1,Clear,24.319984,0.630692,1339.74300625,0.253108,5130
237,2011-08-25,3,0,8,0,Friday,1,Few clouds,24.840016,0.645854,3545.84471939267,0.210833,3542
238,2011-08-26,3,0,8,0,Saturday,1,Clear,25.6,0.659733,3358.22060939941,0.0839625,4661
239,2011-08-27,3,0,8,0,Sunday,0,Few clouds,24.64,0.635556,5220.0625,0.375617,1115
240,2011-08-28,3,0,8,0,Monday,0,Clear,25.938832,0.647959,995.906828934182,0.304659,4334
241,2011-08-29,3,0,8,0,Tuesday,1,Clear,22.560016,0.607958,945.945707735096,0.159825,4634
242,2011-08-30,3,0,8,0,Wednesday,1,,22.680016,0.594704,904.018949999597,0.125008,5204
243,2011-08-31,3,0,8,0,Thursday,1,Clear,23.520016,0.611121,1278.09638328092,0.0833333,5058
244,2011-09-01,3,0,9,0,Friday,1,Clear,23.44,0.614921,1669.00400014384,0.141796,5115
245,2011-09-02,3,0,9,0,Saturday,1,Few clouds,22.879984,0.604808,2794.70493562437,0.139929,4727
246,2011-09-03,3,0,9,0,Sunday,0,Clear,24.120016,0.633213,2637.96864241083,0.185325,4484
247,2011-09-04,3,0,9,0,Monday,0,Clear,26.040016,0.665429,3032.56368992726,0.206467,4940
248,2011-09-05,3,0,9,1,Tuesday,0,Few clouds,24.319984,0.625646,3903.23850425917,0.212696,3351
249,2011-09-06,3,0,9,0,Wednesday,1,Partialy cloudy,17.92,0.5152,6188.85435463417,0.343943,2710
250,2011-09-07,3,0,9,0,Thursday,1,Partialy cloudy,20.760016,0.544229,7073.50348691119,0.0970208,1996
251,2011-09-08,3,0,9,0,Friday,1,Partialy cloudy,22.427824,0.555361,7793.04746725799,0.192748,1842
252,2011-09-09,3,0,9,0,Saturday,1,Few clouds,23.2,0.578946,6500.47026482905,0.124379,3544
253,2011-09-10,3,0,9,0,Sunday,0,Clear,23.68,0.607962,3227.81994338379,0.153608,5345
254,2011-09-11,3,0,9,0,Monday,0,Clear,23.359984,0.609229,2595.28158400879,0.115054,5046
255,2011-09-12,3,0,9,0,Tuesday,1,Clear,22.928704,0.60213,2295.4145372515,0.088913,4713
256,2011-09-13,3,0,9,0,Wednesday,1,Clear,23.239984,0.603554,2577.14868164063,0.141804,4763
257,2011-09-14,3,0,9,0,Thursday,1,Clear,24.319984,0.6269,2361.22822708859,0.1673,4785
258,2011-09-15,3,0,9,0,Friday,1,Few clouds,19.72,0.553671,2529.26347643604,0.271146,3659
259,2011-09-16,3,0,9,0,Saturday,1,Few clouds,14.520016,0.461475,1215.16545527723,0.164183,4760
260,2011-09-17,3,0,9,0,Sunday,0,Few clouds,15.600016,0.478512,2662.58372458733,0.189675,4511
